0,0,875.0654,875.0654,959.3386,536.8488
0,1,875.0654,875.0654,959.3386,536.8488
1,0,875.0654,875.0654,959.3386,536.8488
1,1,875.0654,875.0654,959.3386,536.8488
2,0,875.0654,875.0654,959.3386,536.8488
2,1,875.0654,875.0654,959.3386,536.8488
3,0,875.0654,875.0654,959.3386,536.8488
3,1,875.0654,875.0654,959.3386,536.8488
4,0,875.0654,875.0654,959.3386,536.8488
4,1,875.0654,875.0654,959.3386,536.8488
5,0,875.0654,875.0654,959.3386,536.8488
5,1,875.0654,875.0654,959.3386,536.8488
6,0,875.0654,875.0654,959.3386,536.8488
6,1,875.0654,875.0654,959.3386,536.8488
7,0,875.0654,875.0654,959.3386,536.8488
7,1,875.0654,875.0654,959.3386,536.8488
8,0,875.0654,875.0654,959.3386,536.8488
8,1,875.0654,875.0654,959.3386,536.8488
9,0,875.0654,875.0654,959.3386,536.8488
9,1,875.0654,875.0654,959.3386,536.8488
10,0,875.0654,875.0654,959.3386,536.8488
10,1,875.0654,875.0654,959.3386,536.8488
11,0,875.0654,875.0654,959.3386,536.8488
11,1,875.0654,875.0654,959.3386,536.8488
12,0,875.0654,875.0654,959.3386,536.8488
12,1,875.0654,875.0654,959.3386,536.8488
13,0,875.0654,875.0654,959.3386,536.8488
13,1,875.0654,875.0654,959.3386,536.8488
