0,0,0,40,515,1,345,163400,0,0.9,1
0,0,1,595,605,165,175,100,0,0.9,1
0,1,0,17,509,1,340,166788,0,0.9,1
0,1,1,590,600,165,175,100,0,0.9,1
1,0,0,116,500,1,343,131328,0,0.9,1
1,1,0,81,506,1,343,145350,0,0.9,1
2,0,0,180,490,1,341,105400,0,0.9,1
2,1,0,152,488,1,341,114240,0,0.9,1
3,0,0,247,490,1,340,82377,0,0.9,1
3,1,0,218,486,1,336,89780,0,0.9,1
4,0,0,324,465,1,341,47940,0,0.9,1
4,1,0,291,470,1,334,59607,0,0.9,1
5,0,0,391,457,1,336,22110,0,0.9,1
5,1,0,360,460,1,334,33300,0,0.9,1
6,0,0,460,452,4,331,-2616,0,0.9,1
6,1,0,429,453,1,334,7992,0,0.9,1
7,0,0,533,439,1,329,-30832,0,0.9,1
7,1,0,500,445,1,326,-17875,0,0.9,1
8,0,0,604,434,1,326,-55250,0,0.9,1
8,1,0,569,438,1,326,-42575,0,0.9,1
9,0,0,671,441,1,326,-74750,0,0.9,1
9,1,0,642,437,1,327,-66830,0,0.9,1
10,0,0,742,438,1,327,-99104,0,0.9,1
10,1,0,711,439,1,327,-88672,0,0.9,1
11,0,0,815,436,1,329,-124312,0,0.9,1
11,1,0,782,439,1,324,-110789,0,0.9,1
12,0,0,884,441,1,327,-144418,0,0.9,1
12,1,0,853,439,1,326,-134550,0,0.9,1
13,0,0,950,449,1,327,-163326,0,0.9,1
13,1,0,919,451,1,327,-152568,0,0.9,1
